λ (nm),E17016R/E17012R sur SN2,,,,,,,,,,,,,,,,,,,,,,Design Nominal,,Requirements,,,Tmoy sur les 21 points de mesures,,Points,Moyenne entre 652-1270nm,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,λ (nm),T(%),,,,,,
1270,97.6578,98.1830,98.0973,98.2297,98.4667,98.2286,98.4044,98.2597,98.1473,98.2964,98.1763,98.3621,98.4289,98.3810,98.4478,98.3632,98.2152,97.5552,97.5618,97.5064,97.6043,,98.1231,,652,0,,98.1225,,1,95.33,
1269,97.7647,98.0229,97.9617,98.0696,98.4512,98.2131,98.2231,98.1330,97.9784,98.2521,98.0663,98.2476,98.2788,98.2521,98.3099,98.2465,98.1798,97.2769,97.3201,97.3079,97.4234,,98.1485,,652,90,,97.9990,,2,95.51,
1268,97.7162,97.8855,97.8654,97.9490,98.4166,98.1449,98.1750,98.1349,98.0681,98.1717,98.0881,98.1004,98.2084,98.1037,98.2307,98.2875,98.1260,97.4325,97.4336,97.4858,97.3494,,98.1727,,1270,90,,97.9702,,3,95.54,
1267,97.7213,98.0744,97.8431,98.1582,98.3717,98.1649,98.1996,98.1023,98.1806,98.3762,98.0733,98.2029,98.3203,98.1951,98.3572,98.1918,98.0956,97.3787,97.4354,97.4354,97.3452,,98.1956,,380,10,,98.0106,,4,95.60,
1266,97.7297,98.0110,97.9594,98.0143,98.3326,98.1253,98.1567,98.0379,97.9807,98.1746,98.1455,98.1791,98.2810,98.1959,98.3035,98.1723,98.1017,97.4528,97.4417,97.3624,97.2746,,98.2171,,628,10,,97.9730,,5,95.87,
1265,97.7418,98.0700,97.9453,98.0633,98.2330,98.1229,98.1937,98.0318,97.9104,98.2634,98.0712,98.1881,98.2521,98.2016,98.4106,98.3185,98.1049,97.3051,97.2458,97.2000,97.3543,,98.2371,,628,0,,97.9632,,6,95.65,
1264,97.4522,97.9063,97.8646,97.8759,98.1001,97.9469,98.0855,97.8759,97.8330,98.0787,98.0573,98.0764,98.1024,97.9739,98.1215,98.1350,97.9007,97.3542,97.3935,97.3407,97.3239,,98.2554,,,,,97.8475,,7,95.62,
1263,97.5597,97.7576,97.7814,97.8742,98.1027,97.9941,98.1819,97.9692,97.8787,98.1072,97.9647,98.0303,98.0156,98.0190,98.1287,98.1366,97.9771,97.2627,97.2109,97.1997,97.2959,,98.272,,,,,97.8309,,8,95.62,
1262,97.5914,97.8210,97.8142,97.8711,98.1393,98.0097,98.0438,97.8892,97.9643,98.0018,97.9802,97.9654,98.0688,98.0018,98.0472,98.0097,97.8108,97.1134,97.2456,97.1315,96.9732,,98.2868,,,,,97.7854,,9,95.77,
1261,97.6433,97.9119,97.8764,97.8764,98.0959,97.9610,98.0410,97.8844,97.9427,98.0136,98.0227,98.0364,98.0044,97.9336,98.1713,98.1142,98.0444,97.0472,97.0790,97.0120,96.9140,,98.2997,,,,,97.7917,,10,95.69,
