Executing C:\Users\rhb\Documents\ZEMAX\MACROS\SPECTRO_CENTROIDS_INTENSITY_WEIGHTED.ZPL.
                          Chief Ray             Centroid
Fiber   Lambda (?)    Pixel X   Pixel Y    Pixel X   Pixel Y        RMS
-----   ----------   --------  --------   --------  --------   --------
00000         9700    30.3202   -0.0000    30.3192   -0.0000    0.00475
00000         9865    27.3914   -0.0000    27.3891   -0.0000    0.00562
00000        10030    24.4704   -0.0000    24.4672   -0.0000    0.00593
00000        10195    21.5563   -0.0000    21.5530   -0.0000    0.00561
00000        10360    18.6463   -0.0000    18.6434   -0.0000    0.00518
00000        10525    15.7371   -0.0000    15.7348   -0.0000    0.00491
00000        10690    12.8264   -0.0000    12.8246   -0.0000    0.00475
00000        10855     9.9127   -0.0000     9.9112   -0.0000    0.00470
00000        11020     6.9946   -0.0000     6.9936   -0.0000    0.00471
00000        11185     4.0711   -0.0000     4.0706   -0.0000    0.00465
00000        11350     1.1407   -0.0000     1.1407   -0.0000    0.00452
00000        11515    -1.7987   -0.0000    -1.7980   -0.0000    0.00433
00000        11680    -4.7489   -0.0000    -4.7477   -0.0000    0.00408
00000        11845    -7.7121   -0.0000    -7.7103   -0.0000    0.00377
00000        12010   -10.6896   -0.0000   -10.6874   -0.0000    0.00348
00000        12175   -13.6829   -0.0000   -13.6803   -0.0000    0.00344
00000        12340   -16.6935   -0.0000   -16.6903   -0.0000    0.00370
00000        12505   -19.7235   -0.0000   -19.7198   -0.0000    0.00410
00000        12670   -22.7764   -0.0000   -22.7724   -0.0000    0.00451
00000        12835   -25.8562   -0.0000   -25.8526   -0.0000    0.00463
00000        13000   -28.9657   -0.0000   -28.9632   -0.0000    0.00472
00033         9700    30.3118   -3.3945    30.3109   -3.3946    0.00468
00033         9865    27.3827   -3.3880    27.3805   -3.3878    0.00554
00033        10030    24.4612   -3.3822    24.4581   -3.3819    0.00591
00033        10195    21.5465   -3.3773    21.5433   -3.3770    0.00562
00033        10360    18.6361   -3.3734    18.6332   -3.3730    0.00519
00033        10525    15.7266   -3.3701    15.7242   -3.3697    0.00490
00033        10690    12.8156   -3.3674    12.8137   -3.3670    0.00472
00033        10855     9.9015   -3.3651     9.9001   -3.3647    0.00465
00033        11020     6.9832   -3.3633     6.9822   -3.3628    0.00464
00033        11185     4.0593   -3.3621     4.0588   -3.3616    0.00459
00033        11350     1.1284   -3.3615     1.1285   -3.3610    0.00446
00033        11515    -1.8114   -3.3617    -1.8107   -3.3612    0.00427
00033        11680    -4.7621   -3.3626    -4.7609   -3.3621    0.00402
00033        11845    -7.7257   -3.3641    -7.7240   -3.3637    0.00370
00033        12010   -10.7036   -3.3663   -10.7014   -3.3659    0.00345
00033        12175   -13.6972   -3.3689   -13.6946   -3.3685    0.00345
00033        12340   -16.7082   -3.3721   -16.7050   -3.3717    0.00372
00033        12505   -19.7387   -3.3759   -19.7350   -3.3755    0.00412
00033        12670   -22.7923   -3.3806   -22.7883   -3.3803    0.00451
00033        12835   -25.8728   -3.3863   -25.8693   -3.3862    0.00461
00033        13000   -28.9829   -3.3931   -28.9805   -3.3931    0.00473
00067         9700    30.2866   -6.7915    30.2858   -6.7917    0.00448
00067         9865    27.3566   -6.7785    27.3547   -6.7784    0.00532
00067        10030    24.4336   -6.7669    24.4307   -6.7664    0.00582
00067        10195    21.5174   -6.7571    21.5142   -6.7563    0.00565
00067        10360    18.6055   -6.7490    18.6026   -6.7482    0.00522
00067        10525    15.6949   -6.7424    15.6925   -6.7416    0.00489
00067        10690    12.7830   -6.7370    12.7811   -6.7362    0.00468
00067        10855     9.8681   -6.7326     9.8667   -6.7318    0.00454
00067        11020     6.9488   -6.7292     6.9478   -6.7283    0.00446
00067        11185     4.0237   -6.7269     4.0233   -6.7260    0.00439
00067        11350     1.0915   -6.7258     1.0916   -6.7249    0.00427
00067        11515    -1.8496   -6.7262    -1.8490   -6.7253    0.00407
00067        11680    -4.8017   -6.7279    -4.8005   -6.7270    0.00382
00067        11845    -7.7664   -6.7309    -7.7648   -6.7301    0.00356
00067        12010   -10.7454   -6.7350   -10.7433   -6.7343    0.00342
00067        12175   -13.7401   -6.7402   -13.7375   -6.7395    0.00351
