Executing C:\Users\rhb\Documents\ZEMAX\MACROS\SPECTRO_CENTROIDS_INTENSITY_WEIGHTED.ZPL.
                          Chief Ray             Centroid
Fiber   Lambda (?)    Pixel X   Pixel Y    Pixel X   Pixel Y        RMS
-----   ----------   --------  --------   --------  --------   --------
00000         6500   -29.9108    0.0000   -29.9085    0.0000    0.00534
00000         6675   -26.9625    0.0000   -26.9596    0.0000    0.00559
00000         6850   -24.0232    0.0000   -24.0199    0.0000    0.00564
00000         7025   -21.0921    0.0000   -21.0888    0.0000    0.00558
00000         7200   -18.1678    0.0000   -18.1648    0.0000    0.00550
00000         7375   -15.2481    0.0000   -15.2458    0.0000    0.00534
00000         7550   -12.3302    0.0000   -12.3287    0.0000    0.00493
00000         7725    -9.4119    0.0000    -9.4111    0.0000    0.00439
00000         7900    -6.4908    0.0000    -6.4905    0.0000    0.00440
00000         8075    -3.5653    0.0000    -3.5654    0.0000    0.00508
00000         8250    -0.6341    0.0000    -0.6345    0.0000    0.00565
00000         8425     2.3036    0.0000     2.3030    0.0000    0.00551
00000         8600     5.2487    0.0000     5.2477    0.0000    0.00469
00000         8775     8.2023    0.0000     8.2008    0.0000    0.00371
00000         8950    11.1661    0.0000    11.1638    0.0000    0.00322
00000         9125    14.1422    0.0000    14.1391    0.0000    0.00345
00000         9300    17.1333    0.0000    17.1293    0.0000    0.00421
00000         9475    20.1424    0.0000    20.1378    0.0000    0.00520
00000         9650    23.1722    0.0000    23.1674    0.0000    0.00593
00000         9825    26.2249    0.0000    26.2203    0.0000    0.00610
00000        10000    29.3017    0.0000    29.2975    0.0000    0.00594
00033         6500   -29.9061   -3.3797   -29.9039   -3.3798    0.00530
00033         6675   -26.9575   -3.3735   -26.9547   -3.3735    0.00555
00033         6850   -24.0178   -3.3679   -24.0145   -3.3678    0.00561
00033         7025   -21.0862   -3.3631   -21.0829   -3.3628    0.00555
00033         7200   -18.1614   -3.3591   -18.1584   -3.3589    0.00545
00033         7375   -15.2412   -3.3560   -15.2388   -3.3558    0.00531
00033         7550   -12.3229   -3.3538   -12.3213   -3.3536    0.00494
00033         7725    -9.4042   -3.3523    -9.4033   -3.3522    0.00441
00033         7900    -6.4828   -3.3514    -6.4824   -3.3514    0.00426
00033         8075    -3.5570   -3.3509    -3.5571   -3.3510    0.00472
