Executing C:\Users\rhb\Documents\ZEMAX\MACROS\SPECTRO_CENTROIDS_INTENSITY_WEIGHTED.ZPL.
                          Chief Ray             Centroid
Fiber   Lambda (?)    Pixel X   Pixel Y    Pixel X   Pixel Y        RMS
-----   ----------   --------  --------   --------  --------   --------
00000         3800    29.8307   -0.0000    29.8292   -0.0000    0.01052
00000         3945    26.8822   -0.0000    26.8801   -0.0000    0.00972
00000         4090    23.9455   -0.0000    23.9436   -0.0000    0.00905
00000         4235    21.0173   -0.0000    21.0163   -0.0000    0.00887
00000         4380    18.0928   -0.0000    18.0926   -0.0000    0.00866
00000         4525    15.1688   -0.0000    15.1689   -0.0000    0.00785
00000         4670    12.2443   -0.0000    12.2443   -0.0000    0.00675
00000         4815     9.3194   -0.0000     9.3190   -0.0000    0.00580
00000         4960     6.3942   -0.0000     6.3935   -0.0000    0.00504
00000         5105     3.4678   -0.0000     3.4671   -0.0000    0.00441
00000         5250     0.5386   -0.0000     0.5381   -0.0000    0.00373
00000         5395    -2.3957   -0.0000    -2.3960   -0.0000    0.00298
00000         5540    -5.3373   -0.0000    -5.3374   -0.0000    0.00276
00000         5685    -8.2884   -0.0000    -8.2885   -0.0000    0.00334
00000         5830   -11.2502   -0.0000   -11.2504   -0.0000    0.00384
00000         5975   -14.2231   -0.0000   -14.2233   -0.0000    0.00394
00000         6120   -17.2070   -0.0000   -17.2069   -0.0000    0.00404
00000         6265   -20.2028   -0.0000   -20.2017   -0.0000    0.00467
00000         6410   -23.2132   -0.0000   -23.2109   -0.0000    0.00609
00000         6555   -26.2433   -0.0000   -26.2401   -0.0000    0.00748
00000         6700   -29.2980   -0.0000   -29.2949   -0.0000    0.00820
00033         3800    29.8277   -3.3576    29.8263   -3.3580    0.01047
00033         3945    26.8787   -3.3523    26.8766   -3.3526    0.00968
00033         4090    23.9414   -3.3481    23.9395   -3.3484    0.00898
00033         4235    21.0127   -3.3449    21.0116   -3.3453    0.00876
00033         4380    18.0880   -3.3423    18.0877   -3.3428    0.00859
00033         4525    15.1639   -3.3399    15.1640   -3.3405    0.00786
00033         4670    12.2393   -3.3376    12.2393   -3.3382    0.00680
00033         4815     9.3143   -3.3354     9.3139   -3.3360    0.00582
00033         4960     6.3887   -3.3336     6.3881   -3.3341    0.00504
00033         5105     3.4619   -3.3325     3.4612   -3.3329    0.00435
00033         5250     0.5321   -3.3322     0.5316   -3.3325    0.00366
00033         5395    -2.4026   -3.3327    -2.4029   -3.3330    0.00304
00033         5540    -5.3448   -3.3341    -5.3449   -3.3345    0.00299
00033         5685    -8.2962   -3.3362    -8.2964   -3.3367    0.00352
00033         5830   -11.2583   -3.3388   -11.2586   -3.3393    0.00391
00033         5975   -14.2313   -3.3416   -14.2315   -3.3422    0.00397
00033         6120   -17.2153   -3.3447   -17.2151   -3.3452    0.00409
00033         6265   -20.2113   -3.3479   -20.2102   -3.3483    0.00476
00033         6410   -23.2222   -3.3517   -23.2198   -3.3519    0.00620
00033         6555   -26.2530   -3.3564   -26.2499   -3.3566    0.00752
00033         6700   -29.3084   -3.3624   -29.3053   -3.3627    0.00823
00067         3800    29.8190   -6.7176    29.8176   -6.7184    0.01029
00067         3945    26.8685   -6.7069    26.8665   -6.7076    0.00956
00067         4090    23.9292   -6.6982    23.9271   -6.6989    0.00881
00067         4235    20.9990   -6.6916    20.9976   -6.6924    0.00845
00067         4380    18.0734   -6.6863    18.0729   -6.6874    0.00835
00067         4525    15.1489   -6.6817    15.1489   -6.6830    0.00784
00067         4670    12.2241   -6.6774    12.2241   -6.6788    0.00692
00067         4815     9.2986   -6.6735     9.2983   -6.6748    0.00595
00067         4960     6.3721   -6.6703     6.3716   -6.6715    0.00514
00067         5105     3.4440   -6.6683     3.4435   -6.6693    0.00443
00067         5250     0.5129   -6.6677     0.5124   -6.6686    0.00384
00067         5395    -2.4234   -6.6687    -2.4238   -6.6696    0.00350
00067         5540    -5.3670   -6.6713    -5.3673   -6.6723    0.00359
00067         5685    -8.3195   -6.6752    -8.3199   -6.6763    0.00390
00067         5830   -11.2823   -6.6801   -11.2827   -6.6812    0.00405
00067         5975   -14.2557   -6.6855   -14.2559   -6.6866    0.00406
00067         6120   -17.2402   -6.6912   -17.2398   -6.6922    0.00424
00067         6265   -20.2370   -6.6977   -20.2355   -6.6983    0.00506
00067         6410   -23.2494   -6.7054   -23.2468   -6.7058    0.00651
00067         6555   -26.2823   -6.7153   -26.2792   -6.7157    0.00762
00067         6700   -29.3397   -6.7274   -29.3368   -6.7280    0.00835
00100         3800    29.8042  -10.0823    29.8028  -10.0836    0.00993
00100         3945    26.8518  -10.0663    26.8499  -10.0673    0.00936
00100         4090    23.9094  -10.0526    23.9072  -10.0535    0.00860
00100         4235    20.9764  -10.0421    20.9746  -10.0431    0.00803
00100         4380    18.0490  -10.0339    18.0480  -10.0353    0.00787
00100         4525    15.1236  -10.0273    15.1232  -10.0291    0.00764
00100         4670    12.1981  -10.0215    12.1980  -10.0235    0.00702
00100         4815     9.2717  -10.0164     9.2715  -10.0184    0.00619
00100         4960     6.3439  -10.0124     6.3435  -10.0143    0.00543
00100         5105     3.4140  -10.0098     3.4135  -10.0116    0.00481
00100         5250     0.4806  -10.0092     0.4801  -10.0109    0.00438
00100         5395    -2.4580  -10.0106    -2.4584  -10.0123    0.00417
00100         5540    -5.4036  -10.0141    -5.4040  -10.0159    0.00417
00100         5685    -8.3578  -10.0193    -8.3583  -10.0211    0.00422
00100         5830   -11.3217  -10.0258   -11.3221  -10.0276    0.00420
00100         5975   -14.2960  -10.0332   -14.2960  -10.0348    0.00421
00100         6120   -17.2814  -10.0415   -17.2807  -10.0427    0.00454
00100         6265   -20.2799  -10.0513   -20.2781  -10.0521    0.00558
00100         6410   -23.2952  -10.0635   -23.2925  -10.0641    0.00692
00100         6555   -26.3318  -10.0790   -26.3288  -10.0797    0.00772
00100         6700   -29.3919  -10.0975   -29.3892  -10.0985    0.00864
00134         3800    29.7828  -13.4539    29.7810  -13.4554    0.00939
00134         3945    26.8287  -13.4329    26.8271  -13.4344    0.00904
00134         4090    23.8826  -13.4140    23.8804  -13.4152    0.00837
00134         4235    20.9455  -13.3987    20.9434  -13.3999    0.00766
00134         4380    18.0150  -13.3871    18.0135  -13.3885    0.00722
00134         4525    15.0876  -13.3782    15.0867  -13.3801    0.00708
00134         4670    12.1608  -13.3710    12.1603  -13.3733    0.00683
00134         4815     9.2330  -13.3652     9.2327  -13.3677    0.00633
00134         4960     6.3034  -13.3608     6.3031  -13.3634    0.00574
00134         5105     3.3712  -13.3581     3.3708  -13.3607    0.00522
00134         5250     0.4352  -13.3576     0.4348  -13.3602    0.00486
00134         5395    -2.5061  -13.3595    -2.5066  -13.3619    0.00464
00134         5540    -5.4542  -13.3636    -5.4547  -13.3660    0.00451
00134         5685    -8.4105  -13.3696    -8.4109  -13.3719    0.00441
00134         5830   -11.3760  -13.3773   -11.3762  -13.3794    0.00433
00134         5975   -14.3518  -13.3865   -14.3514  -13.3882    0.00444
00134         6120   -17.3392  -13.3975   -17.3380  -13.3987    0.00508
00134         6265   -20.3409  -13.4112   -20.3388  -13.4120    0.00627
00134         6410   -23.3606  -13.4287   -23.3579  -13.4295    0.00725
00134         6555   -26.4017  -13.4504   -26.3992  -13.4515    0.00788
00134         6700   -29.4647  -13.4751   -29.4620  -13.4764    0.00917
00168         3800    29.7534  -16.8338    29.7505  -16.8351    0.00959
00168         3945    26.7989  -16.8091    26.7973  -16.8110    0.00844
00168         4090    23.8493  -16.7851    23.8474  -16.7869    0.00805
00168         4235    20.9073  -16.7646    20.9051  -16.7660    0.00741
00168         4380    17.9722  -16.7485    17.9702  -16.7499    0.00675
00168         4525    15.0413  -16.7364    15.0399  -16.7381    0.00632
00168         4670    12.1120  -16.7273    12.1110  -16.7295    0.00613
00168         4815     9.1821  -16.7206     9.1814  -16.7231    0.00595
00168         4960     6.2503  -16.7159     6.2498  -16.7187    0.00566
00168         5105     3.3155  -16.7134     3.3150  -16.7163    0.00532
00168         5250     0.3767  -16.7131     0.3762  -16.7160    0.00502
00168         5395    -2.5676  -16.7153    -2.5680  -16.7181    0.00477
00168         5540    -5.5184  -16.7199    -5.5188  -16.7225    0.00457
00168         5685    -8.4772  -16.7267    -8.4774  -16.7291    0.00443
00168         5830   -11.4451  -16.7358   -11.4449  -16.7377    0.00447
00168         5975   -14.4235  -16.7472   -14.4226  -16.7487    0.00495
00168         6120   -17.4145  -16.7618   -17.4129  -16.7629    0.00591
00168         6265   -20.4210  -16.7806   -20.4188  -16.7816    0.00684
00168         6410   -23.4463  -16.8042   -23.4440  -16.8054    0.00742
00168         6555   -26.4922  -16.8321   -26.4900  -16.8337    0.00833
00168         6700   -29.5568  -16.8618   -29.5535  -16.8630    0.01001
00201         3800    29.7141  -20.2226    29.7088  -20.2224    0.01427
00201         3945    26.7607  -20.1960    26.7583  -20.1978    0.00784
00201         4090    23.8090  -20.1687    23.8074  -20.1709    0.00745
00201         4235    20.8624  -20.1433    20.8605  -20.1452    0.00709
00201         4380    17.9218  -20.1220    17.9197  -20.1236    0.00655
00201         4525    14.9860  -20.1055    14.9841  -20.1070    0.00597
00201         4670    12.0526  -20.0934    12.0510  -20.0951    0.00547
00201         4815     9.1194  -20.0848     9.1182  -20.0868    0.00516
00201         4960     6.1846  -20.0793     6.1837  -20.0816    0.00497
00201         5105     3.2468  -20.0765     3.2461  -20.0790    0.00479
00201         5250     0.3048  -20.0764     0.3043  -20.0789    0.00461
00201         5395    -2.6425  -20.0790    -2.6429  -20.0814    0.00446
00201         5540    -5.5966  -20.0844    -5.5967  -20.0865    0.00440
00201         5685    -8.5586  -20.0926    -8.5583  -20.0944    0.00455
00201         5830   -11.5299  -20.1039   -11.5292  -20.1053    0.00505
00201         5975   -14.5125  -20.1189   -14.5113  -20.1201    0.00583
00201         6120   -17.5088  -20.1385   -17.5071  -20.1397    0.00656
00201         6265   -20.5215  -20.1633   -20.5196  -20.1647    0.00707
00201         6410   -23.5526  -20.1929   -23.5507  -20.1948    0.00782
00201         6555   -26.6017  -20.2255   -26.5991  -20.2272    0.00911
00201         6700   -29.6662  -20.2581   -29.6611  -20.2584    0.01226
00235         3800    29.6644  -23.6209    29.6560  -23.6184    0.02402
00235         3945    26.7114  -23.5934    26.7068  -23.5935    0.01189
00235         4090    23.7597  -23.5652    23.7574  -23.5672    0.00664
00235         4235    20.8100  -23.5371    20.8083  -23.5397    0.00639
00235         4380    17.8643  -23.5116    17.8625  -23.5138    0.00620
00235         4525    14.9226  -23.4903    14.9208  -23.4922    0.00584
00235         4670    11.9839  -23.4740    11.9821  -23.4756    0.00545
